UUID,Name,Parent UUID,Unique BISAC Codes [CSV]
711,Other,700,"BUS001000,BUS001010,BUS001020,BUS001040,BUS001050,BUS002000,BUS003000,BUS005000,BUS006000,BUS007000,BUS007010,BUS008000,BUS009000,BUS010000,BUS091000,BUS011000,BUS012000,BUS012010,BUS037020,BUS056030,BUS073000,BUS013000,BUS110000,BUS075000,BUS016000,BUS111000,BUS018000,BUS078000,BUS090000,BUS090040,BUS090010,BUS090030,BUS080000,BUS030000,BUS083000,BUS098000,BUS071000,BUS040000,BUS041000,BUS042000,BUS043000,BUS043010,BUS043020,BUS043040,BUS043060,BUS043050,BUS106000,BUS046000,BUS100000,BUS047000,BUS048000,BUS074000,BUS074020,BUS074030,BUS074040,BUS084000,BUS095000,BUS096000,BUS049000,BUS085000,BUS103000,BUS102000,BUS107000,BUS087000,BUS101000,BUS052000,BUS076000,BUS053000,BUS054000,BUS054010,BUS054020,BUS054030,BUS055000,BUS108000,BUS058000,BUS058010,BUS089000,BUS059000,BUS060000,BUS063000,BUS088000,BUS065000,BUS066000,BUS109000,BUS097000"
801,General,800,EDU000000
802,Elementary and Secondary Education,800,"EDU001020,EDU010000,EDU017000,EDU025000"
803,Higher Education,800,"EDU001030,EDU015000"
804,"Teaching, Learning, and Communications",800,"EDU024000,EDU028000,EDU029050,EDU029080,EDU029060,EDU029010,LAN005000,LAN025000,LAN028000,REF026000"
805,Policy,800,EDU034000
806,Leadership,800,"EDU001020,EDU001000,EDU001030,EDU032000"
807,Foundations & Philosophy,800,"EDU003000,EDU040000"
808,History,800,EDU016000
809,Other,800,"EDU043000,EDU039000,EDU031000,EDU007000,EDU008000,EDU041000,EDU042000,EDU011000,EDU012000,EDU013000,EDU048000,EDU020000,EDU036000,EDU022000,EDU037000,EDU026000,EDU027000,EDU029070,EDU030000,EDU056000"
901,World,900,HIS037000
